Time,Device name,c8y_SensorTagTemperature => Temperature,c8y_SensorTagLuxometer => Luxometer,c8y_SensorTagHumidity => Humidity
2023-02-25T16:48:44.000+08:00,SensorTag,N/A,300,N/A
2023-02-25T16:48:44.000+08:00,SensorTag,28.4,N/A,N/A
2023-02-25T16:48:46.000+08:00,SensorTag,N/A,252,N/A
2023-02-25T16:48:46.000+08:00,SensorTag,28.2,N/A,N/A
2023-02-25T16:48:46.000+08:00,SensorTag,N/A,N/A,50.20065613794156
2023-02-25T16:48:48.000+08:00,SensorTag,N/A,270,N/A
2023-02-25T16:48:48.000+08:00,SensorTag,N/A,N/A,50.09994659342336
2023-02-25T16:48:48.000+08:00,SensorTag,28,N/A,N/A
2023-02-25T16:48:50.000+08:00,SensorTag,N/A,N/A,50.000762951094835
2023-02-25T16:48:50.000+08:00,SensorTag,26.8,N/A,N/A
2023-02-25T16:48:50.000+08:00,SensorTag,N/A,270,N/A
2023-02-25T16:48:52.000+08:00,SensorTag,N/A,N/A,49.399557488365
2023-02-25T16:48:52.000+08:00,SensorTag,27,N/A,N/A
2023-02-25T16:48:52.000+08:00,SensorTag,N/A,276,N/A
2023-02-25T16:48:54.000+08:00,SensorTag,N/A,300,N/A
2023-02-25T16:48:54.000+08:00,SensorTag,N/A,N/A,49.500267032883194
2023-02-25T16:48:54.000+08:00,SensorTag,26.4,N/A,N/A
2023-02-25T16:48:56.000+08:00,SensorTag,N/A,306,N/A
2023-02-25T16:48:56.000+08:00,SensorTag,N/A,N/A,49.19966430151827
2023-02-25T16:48:56.000+08:00,SensorTag,27.6,N/A,N/A
2023-02-25T16:48:58.000+08:00,SensorTag,N/A,348,N/A
2023-02-25T16:48:58.000+08:00,SensorTag,N/A,N/A,49.79934386205844
2023-02-25T16:48:58.000+08:00,SensorTag,27.8,N/A,N/A
2023-02-25T16:49:00.000+08:00,SensorTag,28,N/A,N/A
2023-02-25T16:49:00.000+08:00,SensorTag,N/A,N/A,49.90005340657664
2023-02-25T16:49:00.000+08:00,SensorTag,N/A,329.92,N/A
2023-02-25T16:49:02.000+08:00,SensorTag,N/A,N/A,50.000762951094835
2023-02-25T16:49:02.000+08:00,SensorTag,29.2,N/A,N/A
2023-02-25T16:49:02.000+08:00,SensorTag,N/A,329.92,N/A
2023-02-25T16:49:04.000+08:00,SensorTag,N/A,N/A,50.600442511635
2023-02-25T16:49:04.000+08:00,SensorTag,N/A,329.92,N/A
2023-02-25T16:49:04.000+08:00,SensorTag,29,N/A,N/A
2023-02-25T16:49:06.000+08:00,SensorTag,N/A,300,N/A
2023-02-25T16:49:06.000+08:00,SensorTag,29.6,N/A,N/A
2023-02-25T16:49:06.000+08:00,SensorTag,N/A,N/A,50.499732967116806
2023-02-25T16:49:08.000+08:00,SensorTag,N/A,294,N/A
2023-02-25T16:49:08.000+08:00,SensorTag,28.4,N/A,N/A
2023-02-25T16:49:08.000+08:00,SensorTag,N/A,N/A,50.800335698481724
2023-02-25T16:49:10.000+08:00,SensorTag,N/A,252,N/A
2023-02-25T16:49:10.000+08:00,SensorTag,28.2,N/A,N/A
2023-02-25T16:49:10.000+08:00,SensorTag,N/A,N/A,50.20065613794156
2023-02-25T16:49:14.000+08:00,SensorTag,N/A,N/A,50.09994659342336
2023-02-25T16:49:14.000+08:00,SensorTag,N/A,270,N/A
2023-02-25T16:49:14.000+08:00,SensorTag,28,N/A,N/A
2023-02-25T16:49:16.000+08:00,SensorTag,26.6,N/A,N/A
2023-02-25T16:49:16.000+08:00,SensorTag,N/A,270,N/A
2023-02-25T16:49:16.000+08:00,SensorTag,N/A,N/A,50.000762951094835
2023-02-25T16:49:18.000+08:00,SensorTag,N/A,N/A,49.30037384603647
2023-02-25T16:49:18.000+08:00,SensorTag,27,N/A,N/A
2023-02-25T16:49:18.000+08:00,SensorTag,N/A,270,N/A
2023-02-25T16:49:20.000+08:00,SensorTag,26.6,N/A,N/A
2023-02-25T16:49:20.000+08:00,SensorTag,N/A,300,N/A
2023-02-25T16:49:20.000+08:00,SensorTag,N/A,N/A,49.500267032883194
2023-02-25T16:49:22.000+08:00,SensorTag,N/A,312,N/A
2023-02-25T16:49:22.000+08:00,SensorTag,N/A,N/A,49.30037384603647
